"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TSC2",7.77740355804917e-10,-0.808946815528769,0.154,0.302,2.52260084405325e-05
"MRPL27",7.82176438143055e-10,-0.552299302925568,0.266,0.433,2.536989277117e-05
"ISOC2",8.18704545938865e-10,-0.933588769801079,0.261,0.419,2.65546819475271e-05
"NNMT",8.23415988801666e-10,-1.39824571749504,0.142,0.285,2.6707497596782e-05
"LPAR6",8.2423310261837e-10,1.68264480675321,0.338,0.202,2.67340006834268e-05
"OGFR",8.26596956125212e-10,-1.0329214436667,0.196,0.353,2.68106722719213e-05
"PNRC1",8.40225458796551e-10,0.779378423329008,0.697,0.654,2.72527127560661e-05
"SPG20",8.70954205067238e-10,-0.808663359953874,0.301,0.461,2.82493996413558e-05
"AKR7A2",9.06152429690282e-10,-0.873924666355228,0.289,0.447,2.93910540570043e-05
"NSF",9.24842708769619e-10,-0.81324698327662,0.142,0.285,2.99972732589426e-05
"CTC-228N24.3",9.3197926062587e-10,-0.766855289824666,0.172,0.321,3.02287473184001e-05
"ASPH",9.36099833752277e-10,-0.588296953621994,0.349,0.515,3.03623981077551e-05
"RARA",9.61917467833486e-10,-0.917005254306751,0.219,0.372,3.11997930691791e-05
"TGFBR3",9.72206349704967e-10,-1.26864029780179,0.135,0.272,3.15335129526806e-05
"FAM208B",1.0176614425001e-09,-1.0769015078888,0.261,0.403,3.30078488874909e-05
"EIF3L",1.02890999404222e-09,-0.483606560531416,0.368,0.531,3.33726956567595e-05
"HDGFRP2",1.04107556138442e-09,-1.09948247103937,0.172,0.315,3.37672858335038e-05
"AKR1A1",1.05779236496674e-09,-0.480729767027307,0.378,0.551,3.43094953576962e-05
"TBC1D22A",1.06054215294923e-09,1.05187181186741,0.384,0.231,3.43986847309083e-05
"HSPA2",1.06422807337103e-09,-1.03229724908561,0.18,0.331,3.45182375597895e-05
"PRRC2B",1.10212041443882e-09,-0.695453489703165,0.347,0.507,3.5747275642323e-05
"ZRANB2",1.10232675280704e-09,-0.578694598318033,0.459,0.63,3.57539682272962e-05
"UBL3",1.12113682411798e-09,1.31642241278035,0.41,0.28,3.63640728902668e-05
"TCF12",1.16742516801816e-09,-0.866872719176931,0.483,0.63,3.78654353246691e-05
"SEC16A",1.18277108323712e-09,-1.61394559990084,0.126,0.263,3.83631800847961e-05
"ERH",1.18312317682272e-09,-0.518652380486216,0.534,0.668,3.83746002402449e-05
"RASSF8",1.1882049508266e-09,-0.911401571464411,0.245,0.402,3.85394275800607e-05
"WDR45B",1.22586427436829e-09,-0.897215970699067,0.264,0.42,3.97609077391356e-05
"PEAK1",1.23825807578437e-09,-0.704357373982061,0.405,0.559,4.01629006880661e-05
"SIPA1L1",1.287789042851e-09,1.63772092670775,0.389,0.243,4.17694376048721e-05
"MAGEF1",1.31386754092195e-09,-1.50279729445712,0.145,0.28,4.26152936898034e-05
"MTUS1",1.39518386436283e-09,-0.852262225193108,0.263,0.419,4.52527886406084e-05
"DHRS3",1.40265706949371e-09,-0.939247906245349,0.305,0.461,4.54951820490286e-05
"SEC63",1.41085348597472e-09,-0.67973169238025,0.357,0.504,4.576103281759e-05
"VWA1",1.42896607125012e-09,2.46297126046948,0.324,0.211,4.63485145209977e-05
"MLEC",1.44103938503306e-09,-0.415999828960221,0.364,0.534,4.67401124535474e-05
"RPL28",1.44869902969175e-09,-0.220905222675013,0.935,0.967,4.6988553028052e-05
"IER3IP1.1",1.44963668822703e-09,-1.15276799400126,0.147,0.285,4.70189659826436e-05
"TRIO",1.46122158417521e-09,-1.06731271134375,0.41,0.548,4.7394722082723e-05
"NSD1",1.48284493431329e-09,-0.567754863503363,0.308,0.468,4.80960754444515e-05
"TSPAN5",1.50344624949255e-09,-0.570612620669425,0.25,0.416,4.87642791022909e-05
"LIPA",1.50821880761815e-09,1.6012966181269,0.289,0.154,4.89190770250947e-05
"PPP2CB",1.51781916744581e-09,-0.869233219234869,0.347,0.498,4.92304646961047e-05
"DYNLT3",1.51994494866017e-09,1.49782023373994,0.35,0.216,4.92994144097926e-05
"CFLAR",1.53938565229008e-09,0.794677728554513,0.455,0.302,4.99299736320287e-05
"CERCAM",1.60406065471822e-09,-1.26075460730291,0.123,0.254,5.20277073357856e-05
