"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RBM19",2.64073959678044e-07,0.281772703373644,0.251,0.106,0.00856523888215737
"CLPTM1",2.66016354930401e-07,0.310714153992851,0.498,0.275,0.00862824047216756
"CCDC80",2.66792966233776e-07,0.781732185311912,0.557,0.326,0.00865342985979251
"AP1G1",2.67632881450032e-07,0.26628584484799,0.458,0.248,0.00868067250983177
"CCAR1",2.6872487244889e-07,0.223242682727769,0.512,0.277,0.00871609123787975
"SPOPL",2.71341135247378e-07,0.561987203614979,0.335,0.163,0.00880094972174872
"NOVA1",2.74220104409768e-07,0.369271159983333,0.271,0.117,0.00889432908653083
"ITFG1",2.7487810539442e-07,0.410006643939899,0.596,0.374,0.008915671348468
"WIPI1",2.76127672764287e-07,0.542130663768608,0.35,0.169,0.00895620106610964
"MPHOSPH10",2.77000711020084e-07,0.256709832443955,0.567,0.32,0.00898451806193643
"GALK2",2.78986295769371e-07,0.293791523729791,0.409,0.214,0.00904892050327956
"LEPREL1",2.79044579391836e-07,1.12337675413689,0.35,0.189,0.00905081093257419
"UBE2O",2.80254502305133e-07,0.439824753960504,0.3,0.139,0.00909005478226699
"CLEC16A",2.83595067285691e-07,0.798627819259443,0.33,0.166,0.00919840600741139
"ZNF44",2.83608418721622e-07,0.6584084759221,0.291,0.133,0.00919883906123581
"FNDC3B",2.83928054262774e-07,0.547850650935456,0.66,0.426,0.00920920644001307
"USP22",2.84866643054748e-07,0.340255404508124,0.547,0.316,0.00923964956748076
"BICC1",2.87886838132611e-07,1.0547810796722,0.448,0.273,0.00933760959483125
"MRPS11",2.88632244901341e-07,0.420257627213752,0.458,0.246,0.00936178686337501
"STAU1",2.91609922320299e-07,0.442887007084619,0.591,0.352,0.00945836783045889
"JMJD8",2.91966216959387e-07,0.107580459540928,0.35,0.167,0.00946992424707771
"AKIRIN1",2.94013356846293e-07,0.25021921239327,0.458,0.242,0.0095363232293095
"SLFN11",2.94455715537247e-07,0.300146360388243,0.394,0.193,0.00955067113345059
"AGPAT4",2.94769373129307e-07,0.225710541410102,0.369,0.183,0.00956084461744908
"FIBP",2.961903026525e-07,0.263670142846343,0.458,0.241,0.00960693246653382
"LRCH1",2.9893171684194e-07,0.320459383420884,0.379,0.192,0.00969585023576831
"XRN2",2.99116502463752e-07,0.329534918557685,0.7,0.42,0.00970184375741178
"CKB",3.00972965429077e-07,0.186392689748064,0.296,0.134,0.00976205813369212
"PDIA5",3.03103021571177e-07,0.432766266537647,0.271,0.12,0.00983114650466112
"CCDC173",3.04595833178972e-07,0.48998660720555,0.281,0.128,0.00987956584915995
"PDK1",3.0599460238037e-07,0.460886572817071,0.261,0.116,0.0099249349282073
"PDLIM1",3.06334663962463e-07,0.728779051522071,0.31,0.15,0.00993596482562249
"SIPA1L3",3.06457074344216e-07,0.861688185491114,0.296,0.138,0.00993993520635463
"PLA2G12A",3.06905952619548e-07,0.265615164541578,0.369,0.182,0.00995449457321503
"UACA",3.07180730650327e-07,0.128486372812062,0.764,0.492,0.00996340699864336
"ACOT9",3.07947218701325e-07,0.643931313141854,0.33,0.163,0.00998826803857748
"ZFPM1",3.08312714609897e-07,0.315010422110471,0.384,0.192,0.010000122898372
"IGFBP3",3.08876315391757e-07,1.2391159847691,0.286,0.137,0.0100184032897316
"FKBP14",3.08963940825756e-07,0.402554358993872,0.448,0.245,0.0100212454206834
"TBCD",3.10982446947656e-07,0.180927534978435,0.36,0.176,0.0100867156667472
"TRIAP1",3.12654828307002e-07,0.302418919854063,0.424,0.217,0.0101409593561376
"C12orf23",3.13222908165699e-07,0.184099267871631,0.645,0.372,0.0101593850263545
"TTYH2",3.1518166442759e-07,0.568167145743167,0.286,0.132,0.0102229172857089
"UBE3C",3.16164560016297e-07,0.476026682862567,0.429,0.232,0.0102547975041286
"ECE1",3.17304578292465e-07,0.264509272294997,0.453,0.244,0.0102917739969161
"RNGTT",3.18291379962923e-07,0.738922323587635,0.404,0.219,0.0103237809090974
"RPRD1B",3.19060029359495e-07,0.354226858419209,0.345,0.168,0.0103487120522752
"ATP6V1H",3.19091304800147e-07,0.1527793779438,0.379,0.185,0.0103497264711928
"MAPK8IP3",3.21398872225248e-07,0.318785389357505,0.404,0.205,0.0104245724206259
"PTPN9",3.21614349425421e-07,0.254370881681903,0.305,0.14,0.0104315614236135
"KLHDC3",3.24412438072055e-07,0.133440920173568,0.488,0.256,0.0105223174288671
"RALY",3.26067587241318e-07,0.391800001783088,0.665,0.418,0.0105760021921721
"HADHB",3.2883685810611e-07,0.355662997936833,0.7,0.412,0.0106658234926717
"SLC39A13",3.29085847868662e-07,0.51989736144247,0.291,0.134,0.0106738994756201
"SDF4",3.31983351405365e-07,0.340890885621409,0.65,0.385,0.010767880002833
"FAM214A",3.32274808954105e-07,0.385895692442887,0.424,0.227,0.0107773334284264
"SEC22C",3.34028656558212e-07,0.580258203181929,0.31,0.148,0.0108342194754656
"GDF15",3.34516237225285e-07,0.579591261009663,0.33,0.163,0.0108500341544021
"DPH6",3.36006463555702e-07,0.664558376587171,0.276,0.128,0.0108983696454292
"RNF145",3.3858683830405e-07,0.381922263205762,0.591,0.344,0.0109820641003919
"ID2",3.42107869273918e-07,0.507295668071055,0.527,0.301,0.0110962687398995
"WDFY2",3.43301093937776e-07,0.395087862557905,0.365,0.182,0.0111349709818718
"NCKAP5",3.43955438824011e-07,0.990055093683282,0.286,0.136,0.0111561946582568
"MAP3K13",3.44391598106057e-07,0.663983260539182,0.483,0.272,0.01117034148457
"CRISPLD1",3.45830835947617e-07,0.47781361644807,0.345,0.168,0.011217023163961
"RPL13AP5",3.47494945768672e-07,0.742769913856876,0.369,0.208,0.0112709985660069
"SIAH1",3.49493225672772e-07,0.376555671548852,0.34,0.164,0.0113358127746964
"ST5",3.50323041341711e-07,0.256035181161788,0.463,0.259,0.0113627278459184
"PARVA",3.51722963251867e-07,0.396148847211357,0.498,0.277,0.0114081343130743
"UBR5",3.52352295094431e-07,0.499585374929733,0.591,0.36,0.0114285466913879
"ITPRIP",3.54786105228717e-07,0.608753412824569,0.305,0.145,0.0115074873230934
"MAP1B",3.55787800911767e-07,0.230394184760379,0.591,0.356,0.0115399773225732
"PPP1R21",3.5885075741376e-07,0.197565388176034,0.355,0.17,0.0116393243167153
"KANSL1",3.59326898172677e-07,0.364622937160026,0.645,0.406,0.0116547679422308
"TIMM50",3.62191596533261e-07,0.52644614265293,0.261,0.111,0.0117476844335563
"RIN2",3.62991154631232e-07,0.509328670347477,0.468,0.261,0.011773618100464
"THY1",3.64430029331508e-07,0.520532014361084,0.433,0.235,0.0118202880013675
"ADAMTS9",3.66145672170889e-07,0.507408423767388,0.458,0.256,0.0118759348768628
"BCKDK",3.66217472215226e-07,0.313271576288397,0.409,0.208,0.0118782637113009
"C10orf76",3.67326729752872e-07,0.306075356746654,0.345,0.167,0.0119142424795344
"ANKIB1",3.68433554854467e-07,0.365063412910213,0.507,0.296,0.0119501423517046
"WBSCR16",3.69620635715101e-07,0.412223296356375,0.384,0.193,0.0119886453194193
"RPP38",3.72236636512491e-07,0.309464783057382,0.3,0.138,0.0120734953052827
"ZNF83",3.77896971605803e-07,0.311071410731256,0.498,0.273,0.0122570882740342
"COL13A1",3.80771535649427e-07,0.505691853519627,0.315,0.154,0.0123503247587892
"MAP3K4",3.84990101253973e-07,0.486756530560032,0.424,0.227,0.0124871539341726
"ATG5",3.85714820362103e-07,0.625734780571792,0.473,0.27,0.0125106601984448
"OXSR1",3.89152305067061e-07,0.325330339457472,0.33,0.159,0.0126221550148501
